Model,Width mm,Height mm,Depth mm,Weight g,Max brightness (nits),Area % 6a,Weight % 6a,Max brightness % 6a,Supports Wireless Charging,Supports Pixelsnap / Qi2,OEM Minimum Support End,OEM Minimum Support Years Remaining
Pixel Fold,158.7,139.7,5.8,283.0,1450,202.88,158.99,181.25,yes,no,2028-06-01,2.25
Pixel Tablet,169.0,258.0,8.1,493.0,500,398.99,276.97,62.50,no,no,2028-06-01,2.25
Pixel 6,74.8,158.6,8.9,207.0,800,108.56,116.29,100.00,yes,no,2026-10-01,0.58
Pixel 6 Pro,75.9,163.9,8.9,210.0,800,113.84,117.98,100.00,yes,no,2026-10-01,0.58
Pixel 6A,71.8,152.2,8.9,178.0,800,100.00,100.00,100.00,no,no,2027-07-01,1.33
Pixel 7,73.2,155.6,8.7,197.0,1400,104.23,110.67,175.00,yes,no,2027-10-01,1.58
Pixel 7 Pro,76.6,162.9,8.9,212.0,1500,114.19,119.10,187.50,yes,no,2027-10-01,1.58
Pixel 7A,72.9,152.0,9.0,193.5,1277,101.40,108.71,159.62,yes,no,2028-05-01,2.16
Pixel 8,70.8,150.5,8.9,187.0,2000,97.51,105.06,250.00,yes,no,2030-10-01,4.58
Pixel 8 Pro,76.5,162.6,8.8,213.0,2400,113.83,119.66,300.00,yes,no,2030-10-01,4.58
Pixel 8A,72.7,152.1,8.9,188.0,2000,101.19,105.62,250.00,yes,no,2031-05-01,5.16
Pixel 9,72.0,152.8,8.5,198.0,2700,100.67,111.24,337.50,yes,no,2031-08-01,5.41
Pixel 9 Pro,72.0,152.8,8.5,199.0,3000,100.67,111.80,375.00,yes,no,2031-08-01,5.41
Pixel 9 Pro Fold,150.2,155.2,5.1,257.0,2700,213.32,144.38,337.50,yes,no,2031-08-01,5.41
Pixel 9 Pro Xl,76.6,162.8,8.5,221.0,3000,114.12,124.16,375.00,yes,no,2031-08-01,5.41
Pixel 9A,73.3,154.7,8.9,186.0,2700,103.77,104.49,337.50,yes,no,2032-04-01,6.08
Pixel 10,72.0,152.8,8.6,204.0,3000,100.67,114.61,375.00,yes,yes,2032-08-01,6.41
Pixel 10 Pro,72.0,152.8,8.5,207.0,3300,100.67,116.29,412.50,yes,yes,2032-08-01,6.41
Pixel 10 Pro Fold,150.4,155.2,5.2,258.0,3000,213.60,144.94,375.00,yes,yes,2032-10-01,6.58
Pixel 10 Pro Xl,76.6,162.8,8.5,232.0,3300,114.12,130.34,412.50,yes,yes,2032-08-01,6.41
